Id,log2FoldChange.minus6086vsAll
OG100,0.321
OG1001,0.423
OG1002,0.027000000000000003
OG1004,0.11599999999999999
OG1005,-0.22899999999999998
OG1006,-0.172
OG1007,-0.132
OG1008,-0.293
OG1009,0.434
OG1010,0.054000000000000006
OG1011,-0.038
OG1012,0.743
OG1013,-0.281
OG1014,-0.484
OG1015,-0.019
OG1016,0.067
OG1017,-0.154
OG1018,0.374
OG1019,0.105
OG1020,-0.431
OG1021,0.41200000000000003
OG1022,0.447
OG1023,-0.044000000000000004
OG1024,0.14
OG1025,0.106
OG1026,-0.204
OG1027,-0.139
OG103,-0.106
OG1039,-0.16399999999999998
OG104,-0.183
OG1040,-0.389
OG1041,0.336
OG1042,-0.6679999999999999
OG1054,0.17800000000000002
OG1059,-0.121
OG1060,0.013000000000000001
OG1061,0.382
OG1062,-0.02
OG1063,-0.157
OG1064,-0.521
OG1075,0.325
OG1076,-0.18100000000000002
OG1077,-0.1
OG1078,0.34299999999999997
OG1079,0.35200000000000004
OG1119,-0.11599999999999999
OG112,0.284
OG1160,0.0
OG1161,0.065
OG1162,-0.22
OG1163,0.004
OG1164,0.163
OG1165,-0.016
OG1166,-0.009000000000000001
OG1167,-0.07400000000000001
OG1168,0.163
OG1169,0.187
OG1170,-0.026000000000000002
OG1171,-0.303
OG1172,-0.18100000000000002
OG1173,-0.105
OG1174,-0.062
OG1175,0.273
OG1176,-0.083
OG1177,0.10300000000000001
OG1178,0.037000000000000005
OG1179,0.107
OG1180,0.24600000000000002
OG1181,-0.044000000000000004
OG1182,0.14400000000000002
OG1183,0.188
OG1184,0.066
OG1185,0.18
OG1186,0.24100000000000002
OG1187,-0.196
OG1188,0.51
OG1189,-0.19399999999999998
OG1190,0.376
OG1191,0.043
OG1192,0.263
OG1193,0.264
OG1194,0.257
OG1195,0.0
OG1196,-0.266
OG1197,0.8009999999999999
OG1198,0.031
OG1199,0.015
OG1200,0.094
OG1201,-0.11900000000000001
OG1202,0.23800000000000002
OG1203,0.0
OG1204,0.048
OG1205,0.44
OG1206,0.065
OG1207,0.22399999999999998
OG1208,-0.012
OG1209,0.183
OG1210,0.171
OG1211,0.054000000000000006
OG1212,0.34299999999999997
OG1213,-0.643
OG1214,0.096
OG1215,-0.368
OG1216,0.501
OG1217,-0.142
OG1218,-0.439
OG1219,-0.057
OG1220,-0.152
OG1221,-0.228
OG1222,-0.192
OG1223,-0.002
OG1224,0.035
OG1225,0.16399999999999998
OG1226,-0.187
OG1227,-0.138
OG1228,0.381
OG1229,0.19
OG1230,-0.013999999999999999
OG1231,-0.136
OG1232,0.146
OG1233,-0.055
OG1234,-0.41600000000000004
OG1235,-0.11800000000000001
OG1236,0.147
OG1237,-0.02
OG1238,0.048
OG1239,-0.156
OG124,0.22399999999999998
OG1240,0.21600000000000003
OG1241,0.179
OG1242,-0.244
OG1243,0.299
OG1244,-0.36700000000000005
OG1245,-0.06
OG1246,-0.261
OG1247,0.031
OG1248,-0.17
OG1249,0.23800000000000002
OG1250,0.488
OG1251,0.05
OG1252,0.259
OG1253,0.28800000000000003
OG1254,0.11900000000000001
OG1255,-0.125
OG1256,0.298
OG1257,-0.145
OG1258,-0.27
OG1259,-0.209
OG1260,0.22
OG1261,-0.159
OG1262,0.175
OG1263,-0.07
OG1264,-0.254
OG1265,0.135
OG1266,-0.315
OG1267,-0.052000000000000005
OG1268,0.161
OG1269,0.023
OG1270,0.001
OG1271,-0.062
OG1272,-0.06
OG1273,-0.09699999999999999
OG1274,0.073
OG1275,0.32899999999999996
OG1276,-0.542
OG1277,-0.109
OG1278,-0.134
OG1279,0.47200000000000003
OG1280,0.039
OG1281,0.175
OG1282,0.34700000000000003
OG1283,-0.03
OG1284,0.08900000000000001
OG1285,-0.48200000000000004
OG1286,-0.043
OG1287,0.18600000000000003
OG1288,0.618
OG1289,0.11199999999999999
OG1290,0.106
OG1291,0.132
OG1292,0.047
OG1293,0.025
OG1294,0.439
OG1295,-0.377
OG1296,0.252
OG1297,0.185
OG1298,-0.024
OG1299,0.375
OG1300,0.129
OG1301,-0.204
OG1302,0.055999999999999994
OG1303,0.225
OG1304,0.115
OG1305,-0.9129999999999999
OG1306,-0.7959999999999999
OG1307,-0.7020000000000001
OG1308,-0.35200000000000004
OG1309,-0.7909999999999999
OG1310,-0.6920000000000001
OG1311,-0.42100000000000004
OG1312,-0.006999999999999999
OG1313,0.5489999999999999
OG1314,-0.06
OG1315,-0.002
OG1316,-0.034
OG1317,-0.517
OG1318,0.5539999999999999
OG1319,-0.15
OG1320,-0.062
OG1321,-0.275
OG1322,-0.071
OG1323,-0.147
OG1324,-0.244
OG1325,-0.374
OG1326,0.11699999999999999
OG1327,-0.172
OG1328,-0.406
OG1329,-0.006999999999999999
OG1330,-0.145
OG1331,-0.059000000000000004
OG1332,0.051
OG1333,-0.16699999999999998
OG1334,0.14800000000000002
OG1335,0.136
OG1336,0.171
OG1337,0.6459999999999999
OG1338,0.201
OG1339,0.019
OG134,-0.125
OG1340,-0.43200000000000005
OG1341,0.251
OG1342,-0.46
OG1343,-0.003
OG1344,-0.044000000000000004
OG1345,-0.276
OG1346,0.465
OG1347,0.168
OG1348,-0.11599999999999999
OG1349,-0.152
OG1350,0.035
OG1351,-0.253
OG1352,-0.026000000000000002
OG1353,-0.139
OG1354,-0.25
OG1355,0.203
OG1356,-0.018000000000000002
OG1357,0.008
OG1358,0.003
OG1359,-0.098
OG136,-1.8969999999999998
OG1360,0.018000000000000002
OG1361,0.191
OG1362,0.389
OG1363,-0.177
OG1364,-0.085
OG1365,-0.008
OG1366,-0.41200000000000003
OG1367,-0.084
OG1368,0.163
OG1369,0.049
OG1370,-0.161
OG1371,-0.281
OG1372,0.037000000000000005
OG1373,-0.247
OG1374,-0.003
OG1375,-0.19
OG1376,0.054000000000000006
OG1377,-0.188
OG1378,-0.11
OG1379,-0.02
OG1380,0.195
OG1381,0.153
OG1382,-1.104
OG1383,0.077
OG1384,0.18600000000000003
OG1385,0.099
OG1386,0.127
OG1387,0.024
OG1388,0.109
OG1389,0.073
OG1390,-0.375
OG1391,0.066
OG1392,-0.32299999999999995
OG1393,0.012
OG1394,-0.281
OG1395,0.38
OG1396,0.141
OG1397,0.154
OG1398,0.41100000000000003
OG1399,0.138
OG14,0.221
OG1400,0.29
OG1401,0.49200000000000005
OG1402,0.252
OG1403,-0.166
OG1404,-0.287
OG1405,0.066
OG1406,0.652
OG1407,-0.054000000000000006
OG1408,-0.046
OG1409,-0.20600000000000002
OG1410,0.147
OG1411,-0.177
OG1412,0.18899999999999997
OG1413,-0.017
OG1414,0.086
OG1415,-0.106
OG1416,0.06
OG1417,0.175
OG1418,0.433
OG1419,0.209
OG1420,0.102
OG1421,0.124
OG1422,-0.17600000000000002
OG1423,0.24600000000000002
OG1424,0.253
OG1425,0.136
OG1426,0.126
OG1427,0.102
OG1428,0.11800000000000001
OG1429,0.244
OG1430,-0.064
OG1431,-0.017
OG1432,-0.221
OG1433,-0.24100000000000002
OG1434,0.2
OG1435,-0.37200000000000005
OG1436,-0.469
OG1437,0.18600000000000003
OG1438,-0.183
OG1439,-0.134
OG1440,0.239
OG1441,0.19
OG1442,0.142
OG1443,-0.48
OG1444,0.05
OG1445,-0.055999999999999994
OG1446,0.07
OG1447,-0.146
OG1448,0.166
OG1449,0.278
OG1450,0.271
OG1451,-0.10099999999999999
OG1452,0.115
OG1453,-0.225
OG1454,0.092
OG1455,0.057999999999999996
OG1456,-0.044000000000000004
OG1457,-0.183
OG1458,-0.177
OG1459,-0.257
OG1460,0.128
OG1461,0.012
OG1462,-0.14
OG1463,-0.38799999999999996
OG1464,0.102
OG1465,0.09699999999999999
OG1466,0.11199999999999999
OG1467,0.185
OG1468,0.285
OG1469,0.267
OG1470,0.019
OG1471,0.006
OG1472,0.055999999999999994
OG1473,0.486
OG1474,0.145
OG1475,0.0
OG1476,-0.054000000000000006
OG1477,0.183
OG1478,0.266
OG1479,0.076
OG1480,0.218
OG1481,0.064
OG1482,-0.054000000000000006
OG1483,-0.275
OG1484,0.273
OG1485,-0.022000000000000002
OG1486,-0.049
OG1487,0.028999999999999998
OG1488,0.06
OG1489,-0.163
OG1490,0.149
OG1491,0.35
OG1492,-0.575
OG1493,0.05
OG1494,0.293
OG1495,0.494
OG1496,0.7609999999999999
OG1497,0.198
OG1498,0.782
OG1499,0.084
OG1500,-0.001
OG1501,-0.894
OG1502,0.177
OG1503,0.21899999999999997
OG1504,0.45799999999999996
OG1505,-0.214
OG1506,-0.10300000000000001
OG1507,0.16399999999999998
OG1508,0.075
OG1509,-0.16899999999999998
OG1510,0.158
OG1511,-0.18
OG1512,-0.062
OG1513,0.228
OG1514,0.068
OG1515,0.07400000000000001
OG1516,-0.08800000000000001
OG1517,-0.038
OG1518,0.011000000000000001
OG1519,0.142
OG1520,0.10800000000000001
OG1521,0.075
OG1522,0.162
OG1523,-0.175
OG1524,0.042
OG1525,-0.045
OG1526,0.087
OG1527,-0.049
OG1528,0.09300000000000001
OG1529,0.032
OG1530,-0.03
OG1531,-0.031
OG1532,0.048
OG1533,-0.042
OG1534,0.31
OG1535,0.109
OG1536,0.006
OG1537,0.28800000000000003
OG1538,-0.18100000000000002
OG1539,-0.222
OG1540,0.27899999999999997
OG1541,-0.265
OG1542,0.321
OG1543,-0.091
OG1544,0.39399999999999996
OG1545,-0.027999999999999997
OG1546,-0.128
OG1547,0.156
OG1548,0.33399999999999996
OG1549,-0.085
OG1550,0.017
OG1551,0.006
OG1552,0.034
OG1553,0.893
OG1554,0.146
OG1555,0.083
OG1556,0.365
OG1557,-0.33799999999999997
OG1558,0.205
OG1559,0.22699999999999998
OG1560,0.028999999999999998
OG1561,0.285
OG1562,0.63
OG1563,-0.024
OG1564,0.19699999999999998
OG1565,0.386
OG1566,0.026000000000000002
OG1567,0.20600000000000002
OG1568,0.145
OG1569,-0.07200000000000001
OG1570,-0.23399999999999999
OG1571,0.047
OG1572,-0.19699999999999998
OG1573,0.079
OG1574,-0.149
OG1575,0.083
OG1576,0.10300000000000001
OG1577,-0.019
OG1578,0.142
OG1579,-0.258
OG1580,0.24100000000000002
OG1581,0.12300000000000001
OG1582,-0.091
OG1583,-0.086
OG1584,-0.040999999999999995
OG1585,0.011000000000000001
OG1586,0.04
OG1587,0.215
OG1588,0.29600000000000004
OG1589,-0.24600000000000002
OG1590,0.24100000000000002
OG1591,-0.152
OG1592,0.303
OG1593,0.001
OG1594,0.287
OG1595,0.027000000000000003
OG1596,0.175
OG1597,0.055
OG1598,0.083
OG1599,-0.006
OG1600,0.12
OG1601,-0.10099999999999999
OG1602,0.136
OG1603,0.055
OG1604,0.209
OG1605,-0.073
OG1606,0.44
OG1607,0.304
OG1608,0.24100000000000002
OG1609,0.062
OG1610,0.24100000000000002
OG1611,-0.153
OG1612,-0.193
OG1613,-0.292
OG1614,0.078
OG1615,0.35600000000000004
OG1616,0.222
OG1617,0.623
OG1618,-0.155
OG1619,0.036000000000000004
OG1620,0.337
OG1621,-0.262
OG1622,-0.113
OG1623,0.523
OG1624,0.018000000000000002
OG1625,-0.077
OG1626,0.331
OG1627,-0.22699999999999998
OG1628,-0.042
OG1629,-0.215
OG1630,0.05
OG1631,0.449
OG1632,-0.28
OG1633,0.09699999999999999
OG1634,0.311
OG1635,-0.23399999999999999
OG1636,-0.075
OG1637,-0.008
OG1638,-0.09300000000000001
OG1639,-0.016
OG1640,0.1
OG1641,0.237
OG1642,0.18899999999999997
OG1643,-0.04
OG1644,-0.003
OG1645,-0.24100000000000002
OG1646,0.213
OG1647,-0.055999999999999994
OG1648,-0.204
OG1649,0.032
OG1650,0.8909999999999999
OG1651,-0.23
OG1652,-0.311
OG1653,-0.102
OG1654,0.4
OG1655,-0.205
OG1656,0.172
OG1657,-0.129
OG1658,0.061
OG1659,-1.124
OG1660,0.7
OG1661,0.114
OG1662,-1.472
OG1663,-0.133
OG1664,0.066
OG1665,0.038
OG1666,-0.019
OG1667,0.313
OG1668,-0.006999999999999999
OG1669,-0.083
OG1670,0.22899999999999998
OG1671,0.47
OG1672,0.098
OG1673,-0.228
OG1674,-0.003
OG1675,0.136
OG1676,0.005
OG1677,0.226
OG1678,0.114
OG1679,0.39799999999999996
OG1680,-0.188
OG1681,0.379
OG1682,0.25
OG1683,-0.18100000000000002
OG1684,-0.098
OG1685,-0.085
OG1686,0.064
OG1687,-0.10800000000000001
OG1688,-0.423
OG1689,-0.45899999999999996
OG1690,0.031
OG1691,0.461
OG1692,0.348
OG1693,-0.154
OG1694,-0.015
OG1695,0.07200000000000001
OG1696,0.011000000000000001
OG1697,0.446
OG1698,0.40700000000000003
OG1699,0.675
OG1700,0.589
OG1701,-0.21100000000000002
OG1702,0.298
OG1703,-0.406
OG1704,0.43700000000000006
OG1705,-0.14
OG1706,-0.153
OG1707,0.61
OG1708,0.028999999999999998
OG1709,0.008
OG1710,0.28300000000000003
OG1711,-0.2
OG1712,-0.266
OG1713,-0.077
OG1714,-0.095
OG1715,0.253
OG1716,-0.619
OG1717,-0.077
OG1718,-0.195
OG1719,0.214
OG1720,0.35700000000000004
OG1721,-0.31
OG1722,0.07
OG1723,0.256
OG1724,0.265
OG1725,-0.111
OG1726,0.126
OG1732,0.242
OG1734,0.038
OG1737,-0.102
OG1738,0.14400000000000002
OG1740,-0.34299999999999997
OG1741,0.461
OG1743,-0.14800000000000002
OG1744,0.021
OG1746,0.226
OG175,-0.28
OG1754,0.11800000000000001
OG1755,0.025
OG1756,-0.441
OG1757,-0.016
OG1758,-0.508
OG1759,0.004
OG1760,0.49
OG1761,0.071
OG1769,-0.019
OG1772,-0.055999999999999994
OG1773,-0.251
OG1777,0.10099999999999999
OG1778,-0.04
OG1779,-0.002
OG1781,-0.017
OG1789,0.002
OG1795,-0.03
OG1798,0.322
OG1799,0.496
OG1803,0.364
OG1810,-0.67
OG1812,-0.9179999999999999
OG1818,-0.436
OG1819,-0.034
OG1826,0.039
OG183,-1.875
OG1867,0.092
OG1936,0.003
OG195,-0.341
OG196,-0.409
OG1976,0.6579999999999999
OG1988,-1.4869999999999999
OG2013,0.369
OG2017,0.18
OG2018,0.18899999999999997
OG2020,0.14800000000000002
OG2021,-0.26
OG2022,0.385
OG2034,0.221
OG2037,0.531
OG2038,0.493
OG2039,0.483
OG204,-0.312
OG2040,-1.074
OG2048,-0.163
OG2063,0.032
OG2064,-0.135
OG2065,-0.32
OG2066,0.069
OG2068,0.47100000000000003
OG2069,0.12
OG2070,0.035
OG2071,-0.127
OG2073,0.015
OG2075,0.07
OG2095,0.332
OG2096,0.124
OG2113,-0.032
OG213,0.14
OG2156,0.16899999999999998
OG2163,0.27899999999999997
OG2209,0.028999999999999998
OG2215,0.141
OG231,0.017
OG242,-0.34700000000000003
OG243,0.079
OG244,-0.064
OG245,-0.033
OG2700,-0.42100000000000004
OG2717,-1.536
OG273,-0.32899999999999996
OG2782,-0.21
OG2800,-1.31
OG2838,0.012
OG2839,0.171
OG2862,0.001
OG2921,-0.319
OG2973,-0.556
OG2976,0.053
OG2991,0.025
OG3026,-0.23600000000000002
OG304,-0.235
OG3045,0.418
OG305,0.073
OG306,-1.6640000000000001
OG310,-1.028
OG336,0.012
OG342,0.14400000000000002
OG349,-1.185
OG356,-0.932
OG36,0.008
OG3607,-0.41
OG361,-0.546
OG369,0.373
OG370,-0.358
OG371,-0.129
OG372,0.191
OG373,-0.052000000000000005
OG374,0.026000000000000002
OG375,-0.06
OG376,-0.376
OG377,0.19399999999999998
OG378,0.536
OG379,0.011000000000000001
OG380,-0.191
OG381,0.183
OG382,1.435
OG383,-0.171
OG384,0.47
OG385,0.198
OG386,0.4
OG387,-1.8030000000000002
OG388,-0.657
OG389,-1.4709999999999999
OG39,0.14800000000000002
OG390,0.166
OG391,0.308
OG392,-0.18899999999999997
OG393,0.141
OG394,0.376
OG395,-0.023
OG396,0.975
OG397,0.067
OG398,-0.08800000000000001
OG399,0.16899999999999998
OG400,0.069
OG401,0.174
OG402,-0.431
OG403,0.225
OG404,-1.9380000000000002
OG405,0.205
OG406,-0.031
OG407,-0.073
OG408,-0.012
OG409,0.257
OG410,0.084
OG4100,-0.22699999999999998
OG411,0.08800000000000001
OG412,0.5670000000000001
OG413,-0.163
OG414,0.038
OG415,-0.166
OG416,0.013999999999999999
OG417,-0.043
OG418,0.075
OG419,-0.32
OG420,-0.028999999999999998
OG421,-1.39
OG422,-0.001
OG423,0.242
OG424,-0.18100000000000002
OG425,-0.062
OG426,0.049
OG427,0.466
OG428,0.034
OG429,0.07200000000000001
OG430,0.068
OG4300,-0.33899999999999997
OG431,-0.466
OG432,0.157
OG433,-0.157
OG434,0.18600000000000003
OG435,-0.098
OG4357,-0.018000000000000002
OG436,-0.003
OG437,0.337
OG438,-0.14300000000000002
OG439,-0.556
OG440,-0.113
OG441,-0.063
OG4416,-0.28300000000000003
OG442,0.098
OG443,0.099
OG444,0.053
OG4442,0.1
OG445,0.064
OG446,-0.077
OG4461,-0.28
OG447,0.249
OG448,0.205
OG449,-0.159
OG450,-0.261
OG451,0.133
OG452,0.133
OG453,-0.231
OG454,0.081
OG455,0.168
OG456,-0.49700000000000005
OG457,-0.003
OG458,-1.14
OG459,0.184
OG460,0.264
OG461,0.105
OG462,0.251
OG463,-0.025
OG464,-0.18600000000000003
OG465,-0.004
OG466,-0.21100000000000002
OG467,0.115
OG468,-0.135
OG469,0.11199999999999999
OG470,0.898
OG471,-0.114
OG472,-0.043
OG473,-0.081
OG474,-0.121
OG475,-0.142
OG476,0.465
OG477,-0.076
OG478,0.107
OG479,-0.049
OG480,0.32
OG481,-0.128
OG482,0.027000000000000003
OG483,-0.162
OG484,0.258
OG485,0.258
OG486,0.152
OG487,-0.095
OG488,0.081
OG489,-0.02
OG490,-0.004
OG491,-0.096
OG492,-0.247
OG493,-0.977
OG494,-0.12
OG495,0.065
OG496,-0.09
OG497,0.18899999999999997
OG498,0.091
OG499,0.19899999999999998
OG500,0.25
OG501,-0.153
OG502,-0.278
OG503,0.003
OG504,-0.046
OG505,-0.377
OG506,0.09699999999999999
OG507,0.175
OG508,0.223
OG509,-0.18899999999999997
OG510,0.16899999999999998
OG511,-0.065
OG512,-0.325
OG513,0.006
OG514,0.053
OG515,-0.027000000000000003
OG516,-0.083
OG517,0.504
OG518,0.563
OG519,-0.001
OG520,0.325
OG521,-0.242
OG522,-0.44799999999999995
OG523,0.371
OG524,0.086
OG525,-0.154
OG526,0.196
OG527,-0.972
OG528,0.013000000000000001
OG529,-1.228
OG530,-0.18899999999999997
OG531,0.203
OG532,-0.307
OG533,-0.29600000000000004
OG534,0.09
OG535,-0.073
OG536,0.154
OG537,-0.127
OG538,-0.002
OG539,-0.11800000000000001
OG540,0.061
OG541,0.223
OG542,0.428
OG543,-0.265
OG544,0.004
OG545,0.023
OG546,0.76
OG547,0.22699999999999998
OG548,0.231
OG549,-0.295
OG550,0.4
OG551,0.135
OG552,0.071
OG553,-0.23800000000000002
OG554,0.153
OG555,0.203
OG556,-0.069
OG557,0.365
OG558,0.039
OG559,-0.813
OG560,-0.52
OG561,-0.397
OG562,-0.17600000000000002
OG563,0.392
OG564,-0.305
OG565,0.187
OG566,0.034
OG567,-0.249
OG568,0.331
OG569,0.048
OG570,0.302
OG571,-0.27899999999999997
OG572,0.084
OG573,0.322
OG574,-0.018000000000000002
OG575,-1.06
OG576,-0.040999999999999995
OG577,-0.015
OG578,-0.149
OG579,0.321
OG58,-0.026000000000000002
OG580,0.221
OG581,0.027999999999999997
OG582,0.289
OG583,0.065
OG584,-0.39
OG585,-0.233
OG586,0.442
OG587,0.396
OG588,-0.8009999999999999
OG589,-0.401
OG590,0.037000000000000005
OG591,0.375
OG592,0.28300000000000003
OG593,0.326
OG594,0.081
OG595,0.426
OG596,0.11800000000000001
OG597,0.237
OG598,-0.162
OG599,0.589
OG600,-1.165
OG601,0.073
OG602,-0.28300000000000003
OG603,0.41700000000000004
OG604,0.26899999999999996
OG605,-0.168
OG606,0.23600000000000002
OG607,0.151
OG608,-0.292
OG609,0.193
OG610,-0.042
OG611,0.062
OG612,0.068
OG613,0.54
OG614,-0.07
OG615,0.095
OG616,-0.057
OG617,-1.255
OG618,-0.040999999999999995
OG619,-0.32799999999999996
OG620,0.14300000000000002
OG621,-0.276
OG622,0.34299999999999997
OG623,0.033
OG624,-0.19899999999999998
OG625,0.03
OG626,-0.215
OG627,0.43799999999999994
OG628,0.162
OG629,-0.095
OG630,0.035
OG631,-0.14400000000000002
OG632,-0.027999999999999997
OG633,-0.193
OG634,0.048
OG635,0.06
OG636,0.289
OG637,-0.1
OG638,0.253
OG639,0.015
OG640,-0.055999999999999994
OG641,0.018000000000000002
OG642,-0.22
OG643,-0.17300000000000001
OG644,0.33299999999999996
OG645,0.142
OG646,-0.003
OG647,-0.21600000000000003
OG648,-0.249
OG649,-0.036000000000000004
OG650,0.341
OG651,0.018000000000000002
OG652,-0.021
OG653,-0.067
OG654,0.332
OG655,0.275
OG656,-0.632
OG657,-0.513
OG658,0.201
OG659,0.28300000000000003
OG660,0.22699999999999998
OG661,0.065
OG662,0.418
OG663,0.10099999999999999
OG664,0.129
OG665,0.036000000000000004
OG666,-0.05
OG667,0.195
OG668,0.402
OG669,-0.114
OG670,-0.252
OG671,0.10099999999999999
OG672,-0.922
OG673,0.127
OG674,-0.022000000000000002
OG675,0.021
OG676,0.11
OG677,-0.409
OG678,0.076
OG679,-0.49
OG680,0.092
OG681,0.081
OG682,-0.07200000000000001
OG683,-0.084
OG684,0.248
OG685,-0.259
OG686,0.05
OG687,0.017
OG688,0.009000000000000001
OG689,0.046
OG690,-0.24600000000000002
OG691,-0.813
OG692,0.157
OG693,-0.107
OG694,-0.8640000000000001
OG695,-0.045
OG696,-0.215
OG697,-0.004
OG698,-0.5870000000000001
OG699,-0.322
OG700,-0.327
OG701,-0.16399999999999998
OG702,-0.033
OG703,-0.09699999999999999
OG704,-0.55
OG705,-0.223
OG706,0.063
OG707,-0.005
OG708,-0.207
OG709,-0.17300000000000001
OG710,0.163
OG711,0.261
OG712,0.434
OG713,0.078
OG714,0.384
OG715,0.381
OG716,0.114
OG717,-0.294
OG718,0.244
OG719,-0.8759999999999999
OG720,-0.131
OG721,-1.807
OG722,-0.15
OG723,-0.29600000000000004
OG724,-0.304
OG725,0.247
OG726,0.012
OG727,0.45799999999999996
OG728,-0.42700000000000005
OG729,-0.151
OG730,-0.233
OG731,-0.151
OG732,-0.107
OG733,-0.109
OG734,-0.18
OG735,-0.225
OG736,-0.025
OG737,-0.11800000000000001
OG738,0.203
OG739,0.265
OG740,-0.002
OG741,-0.175
OG742,-3.458
OG743,-0.38299999999999995
OG744,-0.086
OG745,-0.048
OG746,-0.039
OG747,-0.10099999999999999
OG748,-2.753
OG749,-0.073
OG750,-0.214
OG751,-0.161
OG752,-0.38299999999999995
OG753,-0.282
OG754,0.34
OG755,-0.363
OG757,-0.324
OG758,-0.129
OG759,0.575
OG760,0.079
OG761,0.218
OG762,0.039
OG763,-0.163
OG764,-0.076
OG765,0.002
OG766,-2.931
OG767,-0.659
OG768,-1.5030000000000001
OG769,0.094
OG770,0.20600000000000002
OG771,-0.095
OG772,0.379
OG773,0.322
OG775,-0.078
OG776,0.204
OG784,0.337
OG785,-0.004
OG786,0.379
OG787,0.096
OG789,-0.534
OG798,0.2
OG799,-0.031
OG800,-0.263
OG801,0.03
OG802,-0.213
OG803,-1.002
OG804,-0.301
OG805,0.289
OG806,-2.5
OG807,-0.059000000000000004
OG808,-0.257
OG809,0.177
OG810,0.285
OG811,0.251
OG812,-0.486
OG813,0.195
OG814,0.514
OG815,0.179
OG816,-0.161
OG817,0.406
OG818,0.624
OG819,0.174
OG820,-0.299
OG821,0.265
OG822,-0.146
OG823,-0.09
OG824,0.653
OG825,0.044000000000000004
OG826,-0.087
OG827,-0.107
OG828,-0.008
OG829,-0.08800000000000001
OG830,0.081
OG831,-0.11699999999999999
OG832,0.5329999999999999
OG833,1.126
OG834,-0.084
OG835,0.098
OG836,-0.109
OG837,0.078
OG840,0.044000000000000004
OG841,-0.10300000000000001
OG842,-0.027999999999999997
OG843,-0.013999999999999999
OG844,0.158
OG845,-0.062
OG846,-0.209
OG847,0.797
OG862,-0.019
OG863,-0.098
OG864,0.182
OG865,-0.075
OG866,0.247
OG867,-0.18899999999999997
OG868,0.086
OG871,0.6559999999999999
OG872,0.34700000000000003
OG873,-0.040999999999999995
OG874,0.11599999999999999
OG875,0.136
OG876,0.258
OG877,0.31
OG878,0.068
OG879,-0.006999999999999999
OG880,-0.245
OG881,-0.44
OG882,0.18100000000000002
OG883,0.113
OG884,0.41200000000000003
OG885,-0.059000000000000004
OG886,-0.19399999999999998
OG887,-0.14300000000000002
OG888,-0.053
OG889,-0.075
OG897,0.217
OG898,0.18899999999999997
OG899,0.006
OG905,-0.057999999999999996
OG906,0.086
OG907,0.141
OG908,0.22
OG909,0.075
OG910,-0.07400000000000001
OG911,-0.111
OG912,-0.133
OG913,0.396
OG914,0.35600000000000004
OG915,0.11199999999999999
OG916,-0.121
OG922,0.401
OG923,-1.534
OG924,-0.171
OG925,0.512
OG926,0.225
OG931,-0.024
OG945,0.018000000000000002
OG946,0.172
OG948,0.193
OG949,-0.134
OG950,0.087
OG954,0.231
OG963,-0.006
OG964,0.244
OG977,-0.152
OG983,-0.899
OG984,-0.653
OG998,-0.253
